plot	gid	female	male	type	N	rep	row	col	SDM	SRA	NAE
87	58	5	8	sc	ideal	1	22	3	1.139	0.121	0.109
88	58	5	8	sc	ideal	2	22	4	1.029	0.133	0.111
89	59	5	9	sc	low	1	23	1	0.363	0.127	0.231
90	59	5	9	sc	low	2	23	2	0.506	0.109	0.406
91	59	5	9	sc	ideal	1	23	3	1.1	0.119	0.103
92	59	5	9	sc	ideal	2	23	4	1.205	0.122	0.138
93	68	6	8	sc	low	1	24	1	0.282	0.14	0.227
94	68	6	8	sc	low	2	24	2	0.29	0.141	0.226
95	68	6	8	sc	ideal	1	24	3	0.437	0.159	0.046
96	68	6	8	sc	ideal	2	24	4	0.541	0.14	0.06
97	69	6	9	sc	low	1	25	1	0.423	0.126	0.327
98	69	6	9	sc	low	2	25	2	0.505	0.122	0.389
99	69	6	9	sc	ideal	1	25	3	1.042	0.132	0.124
100	69	6	9	sc	ideal	2	25	4	1.402	0.118	0.162
101	79	7	9	sc	low	1	26	1	0.38	0.128	0.267
102	79	7	9	sc	low	2	26	2	0.38	0.128	0.267
103	79	7	9	sc	ideal	1	26	3	0.847	0.144	0.099
104	79	7	9	sc	ideal	2	26	4	0.847	0.144	0.099
105	110	1	10	sc	low	1	27	1	0.488	0.121	0.379
106	110	1	10	sc	low	2	27	2	0.675	0.093	0.508
107	110	1	10	sc	ideal	1	27	3	0.69	0.108	0.062
108	110	1	10	sc	ideal	2	27	4	0.871	0.095	0.098
109	112	1	12	sc	low	1	28	1	0.553	0.111	0.38
110	112	1	12	sc	low	2	28	2	0.538	0.114	0.425
111	112	1	12	sc	ideal	1	28	3	1.069	0.127	0.107
112	112	1	12	sc	ideal	2	28	4	1.6	0.102	0.18
113	113	1	13	sc	low	1	29	1	0.388	0.13	0.27
114	113	1	13	sc	low	2	29	2	0.493	0.13	0.395
115	113	1	13	sc	ideal	1	29	3	1.072	0.118	0.095
116	113	1	13	sc	ideal	2	29	4	1.008	0.104	0.096
117	114	1	14	sc	low	1	30	1	0.511	0.101	0.392
118	114	1	14	sc	low	2	30	2	0.595	0.102	0.452
119	114	1	14	sc	ideal	1	30	3	1.335	0.095	0.125
120	114	1	14	sc	ideal	2	30	4	0.665	0.112	0.059
121	211	2	11	sc	low	1	31	1	0.508	0.111	0.388
122	211	2	11	sc	low	2	31	2	0.533	0.113	0.428
123	211	2	11	sc	ideal	1	31	3	1.044	0.121	0.102
124	211	2	11	sc	ideal	2	31	4	1.143	0.12	0.119
125	212	2	12	sc	low	1	32	1	0.496	0.117	0.364
126	212	2	12	sc	low	2	32	2	0.619	0.109	0.489
127	212	2	12	sc	ideal	1	32	3	0.951	0.121	0.096
128	212	2	12	sc	ideal	2	32	4	0.95	0.119	0.093
129	213	2	13	sc	low	1	33	1	0.431	0.115	0.292
